Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,47p,
C3,1206,1,10u,
"C4, C6",1206,2,47u,
"C5, C7, C8",0805,3,1u,
D1,D_SMA,1,SS14,
J1,HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,
J2,U.FL_Molex_MCRF_73412-0110_Vertical,1,Conn_Coaxial_Small,
J4,PinHeader_1x02_P2.54mm_Vertical,1,Jumper,
J5,PinHeader_1x04_P2.54mm_Vertical,1,UART,
J6,TestPoint_Pad_2.5x2.5mm,1,VIN,
J7,TestPoint_Pad_2.5x2.5mm,1,GND,
L1,0603,1,47n,
L2,L_Vishay_IHLP-2525,1,3.3u,
Q1,SOT-23,1,MMBT5401,
"R1, R2",0603,2,100K,
"R10, R9",0402,2,5.1k,
R3,0805,1,10,
R8,0603,1,10K,
"S1, S2",SW_TS-1187A-B-A-B,2,TS-1187A-B-A-B,
U1,ublox_MAX,1,MAX-M10S,
U2,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,1,TPS62162DSG,
U3,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U4,Ai-Thinker-Ra-01-LoRa,1,Ai-Thinker-Ra-01,
